,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6
1,1.846,0.18444,1.2882,15.01,0.10722,6.5314
2,1.846,0.18444,1.2882,8.978,0.10722,5.4747
3,2.6362,0.45741,0.97555,2.7579,2.8867,1.7534
4,1.3863,0.42226,0.97555,2.7579,0.30919,1.7534
5,1.3863,0.45741,2.1841,8.9889,0.30919,0.13432
6,3.7306,0.14414,2.1841,0.59964,1.231,0.13432
7,3.7306,0.14033,3.2786,0.59964,0.27182,3.6603
8,0.27096,0.14033,4.9481,0.53732,0.27182,3.6603
9,0.27096,2.1592,4.9481,0.53732,0.81786,0.57381
10,5.8185,0.88034,2.9658,1.5547,0.81786,7.8034
11,5.8185,0.88034,1.9671,10.413,2.4817,1.8417
12,4.5782,0.99578,1.9671,9.6142,5.727,3.3921
13,2.5299,0.11821,2.1339,9.3609,2.6531,1.9973
14,2.5299,0.11821,3.0767,4.7588,0.082396,3.3921
15,1.1881,3.8283,2.7412,1.4409,0.082396,3.3921
16,1.1881,0.91908,3.0767,1.4409,1.1706,1.6973
17,0.50713,0.91908,3.0767,2.0657,1.1706,4.3383
18,0.50713,0.035982,8.338,0.31328,1.1521,4.3151
19,4.6542,0.035982,0.78591,0.31328,1.1521,1.7259
20,4.8155,0.17856,0.78591,0.38501,3.7037,0.27799
21,4.8155,0.17856,1.0476,1.4385,4.2806,0.27799
22,0.027762,1.2152,1.1167,1.4385,1.207,0.69906
23,0.027762,0.37148,0.30652,1.655,1.4289,0.69906
24,3.2757,0.24988,0.30652,1.655,0.042557,11.529
25,3.2757,0.24988,0.24153,0.8059,0.59246,2.4732
26,14.803,1.3233,0.24153,0.87571,1.4289,0.0034403
27,3.2233,1.3233,3.0817,0.87571,0.23514,0.68267
28,3.2233,0.0089368,0.38302,7.1038,0.23514,4.9462
29,5.5659,0.0089368,5.8022,0.58251,0.58107,1.4604
30,5.5659,0.8011,2.3472,0.58251,0.51521,1.4604
31,0.68985,0.8011,0.75227,2.5244,0.58107,0.45549
32,0.13079,0.36361,2.3472,2.5244,0.58107,0.45549
33,0.13079,0.070203,2.3472,0.18667,1.5868,0.34388
34,1.117,0.070203,4.1204,0.18667,1.5868,0.34388
35,0.14692,0.57667,2.1266,0.027332,0.61628,19.146
36,2.2759,0.40742,5.8807,0.027332,0.55413,4.9783
37,2.2759,0.40742,5.8807,8.5925,0.1649,4.9783
38,1.9711,0.28877,1.621,6.6274,0.68748,1.8932
39,0.36352,0.28877,1.5074,4.2882,0.68748,1.8932
40,0.36352,3.6851,1.5074,5.4911,0.0020743,3.441
41,1.7152,0.24717,1.691,1.1651,0.0020743,3.441
42,1.6697,0.24717,4.365,3.7276,3.2232,4.5478
43,0.63733,3.568,1.9669,3.7276,6.0428,0.92199
44,0.63733,2.5305,0.079449,1.7256,5.3151,0.92199
45,0.28667,2.5305,0.079449,1.1788,2.1084,10.155
46,0.65655,1.8392,1.3533,0.049305,0.48324,3.2513
47,0.65655,0.91258,2.7299,0.049305,1.8544,3.2513
48,0.83731,0.91258,2.7299,1.003,1.0396,4.9451
49,0.83731,0.64143,5.0246,1.003,1.0396,7.9641
50,6.9723,0.42589,1.9599,0.74614,1.0514,7.9641
51,5.7298,0.43946,3.8063,4.577,1.1189,15.451
52,5.7298,0.43946,3.8063,0.99061,1.1189,15.451
53,4.6569,0.42596,0.6745,0.99061,1.8818,10.363
54,0.12445,0.42596,0.6745,4.6203,7.6047,1.542
55,0.12445,1.0271,0.23361,0.29364,0.62882,1.6668
56,2.3522,0.86169,0.23361,0.023379,0.62882,4.0263
57,3.371,0.86169,4.1464,0.023379,0.098507,2.4107
58,3.371,0.74196,4.1464,1.5241,0.030396,2.3503
59,0.3739,0.74196,2.002,0.82777,0.030396,2.3503
60,0.3739,0.43848,0.26723,0.82777,0.54919,0.07984
61,1.5405,0.17338,0.26723,3.2293,0.54919,8.6761
62,1.5405,0.17338,1.698,3.2293,2.4795,7.4179
63,1.2703,0.15553,0.56456,5.9128,2.4795,1.9129
64,1.2703,1.6608,0.56456,0.76899,0.12972,1.9129
